feature_a,feature_b,pair_label,category_a,category_b,mean_corr,mean_abs_corr,corr_std_across_months,corr_range_across_months,min_corr,max_corr,strong_sign_flip_across_months
pblh,psfc,pblh ~ psfc,meteorology_or_target,meteorology_or_target,-0.1672894781326424,0.1672894781326424,0.05035276006058537,0.13140963708381648,-0.24959421611957947,-0.118184579035763,0
t2,bio,t2 ~ bio,meteorology_or_target,emission,0.7426315698077959,0.7426315698077959,0.04721351678439691,0.13173348233772308,0.6744306202725947,0.8061641026103178,0
v10,bio,v10 ~ bio,meteorology_or_target,emission,-0.1056203045605483,0.1056203045605483,0.04614610575445345,0.12885370644391392,-0.16502424906943505,-0.03617054262552115,0
psfc,bio,psfc ~ bio,meteorology_or_target,emission,0.08508135536044353,0.08508135536044353,0.044447977355054215,0.10926208597413954,0.010687512465650332,0.11994959843978988,0
t2,swdown,t2 ~ swdown,meteorology_or_target,meteorology_or_target,0.7207161211094335,0.7207161211094335,0.04329998860942443,0.11165631095553608,0.6673283609844312,0.7789846719399672,0
u10,rain,u10 ~ rain,meteorology_or_target,meteorology_or_target,-0.02173185692697727,0.03137357803681414,0.04026608047045754,0.10742322721787327,-0.08813978499819952,0.01928344221967375,0
q2,rain,q2 ~ rain,meteorology_or_target,meteorology_or_target,0.08571108893215251,0.08571108893215251,0.03915840276152341,0.1006733136169799,0.03802400865497188,0.13869732227195178,0
t2,rain,t2 ~ rain,meteorology_or_target,meteorology_or_target,-0.028760195299376446,0.039687639722949496,0.03736225449488487,0.09437198039697473,-0.07251709154982862,0.0218548888471461,0
swdown,psfc,swdown ~ psfc,meteorology_or_target,meteorology_or_target,0.11094330879505895,0.11094330879505895,0.033778808407617614,0.09032026158229745,0.05734008545081903,0.14766034703311648,0
pblh,bio,pblh ~ bio,meteorology_or_target,emission,0.6773589145483319,0.6773589145483319,0.03247687231151661,0.08670634753084094,0.6430297366103254,0.7297360841411663,0
swdown,pblh,swdown ~ pblh,meteorology_or_target,meteorology_or_target,0.6441542098718118,0.6441542098718118,0.02614335510542569,0.06490878673341349,0.6228248720940648,0.6877336588274783,0
v10,rain,v10 ~ rain,meteorology_or_target,meteorology_or_target,0.09436165698516244,0.09436165698516244,0.02504574711586411,0.05901779875559958,0.05938890185253473,0.11840670060813431,0
psfc,rain,psfc ~ rain,meteorology_or_target,meteorology_or_target,-0.026467879696338723,0.03138314273397136,0.023811089164276586,0.06657798704729659,-0.05674746097203131,0.009830526075265276,0
rain,bio,rain ~ bio,meteorology_or_target,emission,-0.041136475197823236,0.041136475197823236,0.017211462497690493,0.04429525016291065,-0.06949717094696617,-0.025201920784055514,0
swdown,rain,swdown ~ rain,meteorology_or_target,meteorology_or_target,-0.04131170819388812,0.04131170819388812,0.01519189133584794,0.04153867075004063,-0.06596552527739204,-0.02442685452735141,0
rain,NOx,rain ~ NOx,meteorology_or_target,emission,-0.04772888363807858,0.04772888363807858,0.0135825411557245,0.034962832261403336,-0.06722175231320948,-0.032258920051806146,0
rain,PM25,rain ~ PM25,meteorology_or_target,emission,-0.04661267084812688,0.04661267084812688,0.013099034772048632,0.03269947328566292,-0.06280692161258239,-0.030107448326919476,0
rain,NH3,rain ~ NH3,meteorology_or_target,emission,-0.048277160112375164,0.048277160112375164,0.012959641774914281,0.031257810767850315,-0.06401138640962069,-0.03275357564177037,0
rain,NMVOC_finn,rain ~ NMVOC_finn,meteorology_or_target,emission,-0.04905163448093797,0.04905163448093797,0.012815699668832654,0.03038963072168089,-0.06485374793097996,-0.034464117209299074,0
rain,SO2,rain ~ SO2,meteorology_or_target,emission,-0.04695539632186327,0.04695539632186327,0.01237291115940626,0.029468950095442654,-0.060874758239944184,-0.03140580814450153,0
SO2,NMVOC_finn,SO2 ~ NMVOC_finn,emission,emission,0.9862174122846782,0.9862174122846782,0.01062954179766606,0.025848037279354585,0.9713721437375403,0.9972201810168949,0
PM25,NMVOC_finn,PM25 ~ NMVOC_finn,emission,emission,0.987192441851645,0.987192441851645,0.009958930097117567,0.022250800041973662,0.9754170766924325,0.9976678767344062,0
SO2,NOx,SO2 ~ NOx,emission,emission,0.9898090726049409,0.9898090726049409,0.008579094775500042,0.02268312644923942,0.9761459921444696,0.998829118593709,0
pblh,rain,pblh ~ rain,meteorology_or_target,meteorology_or_target,-0.05697175973848026,0.05697175973848026,0.007057059698388296,0.019314154533729484,-0.0684035396827844,-0.049089385149054914,0
PM25,NOx,PM25 ~ NOx,emission,emission,0.9933450649035779,0.9933450649035779,0.006728525204416753,0.016790735106652854,0.9817877015772128,0.9985784366838657,0
NH3,SO2,NH3 ~ SO2,emission,emission,0.9944744673597335,0.9944744673597335,0.0042422141715368015,0.00917052692167486,0.9900633905549411,0.9992339174766159,0
PM25,NH3,PM25 ~ NH3,emission,emission,0.9945171289159596,0.9945171289159596,0.0038011048885378314,0.009421558960845622,0.9893644232807075,0.9987859822415531,0
NOx,NMVOC_finn,NOx ~ NMVOC_finn,emission,emission,0.9953421806328215,0.9953421806328215,0.0037672565995069645,0.010069247881343446,0.9892704139593684,0.9993396618407119,0
NH3,NOx,NH3 ~ NOx,emission,emission,0.9952323896424049,0.9952323896424049,0.00262394584262286,0.006815190512646563,0.992793221779693,0.9996084122923395,0
NH3,NMVOC_finn,NH3 ~ NMVOC_finn,emission,emission,0.9975092774764508,0.9975092774764508,0.001971083592733766,0.005407341553291589,0.9944834662553275,0.999890807808619,0
PM25,SO2,PM25 ~ SO2,emission,emission,0.9978743128475869,0.9978743128475869,0.0018252764405755789,0.0048210408070051836,0.9949735355182739,0.9997945763252791,0
swdown,bio,swdown ~ bio,meteorology_or_target,emission,0.9899641128754684,0.9899641128754684,0.0015241483438103488,0.0042769034237069015,0.9876358505709734,0.9919127539946803,0
NH3,NMVOC_e,NH3 ~ NMVOC_e,emission,emission,,,,,,,0
NMVOC_e,NMVOC_finn,NMVOC_e ~ NMVOC_finn,emission,emission,,,,,,,0
NMVOC_e,bio,NMVOC_e ~ bio,emission,emission,,,,,,,0
NOx,NMVOC_e,NOx ~ NMVOC_e,emission,emission,,,,,,,0
PM25,NMVOC_e,PM25 ~ NMVOC_e,emission,emission,,,,,,,0
SO2,NMVOC_e,SO2 ~ NMVOC_e,emission,emission,,,,,,,0
cpm25,NMVOC_e,cpm25 ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
pblh,NMVOC_e,pblh ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
psfc,NMVOC_e,psfc ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
q2,NMVOC_e,q2 ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
rain,NMVOC_e,rain ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
swdown,NMVOC_e,swdown ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
t2,NMVOC_e,t2 ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
u10,NMVOC_e,u10 ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
v10,NMVOC_e,v10 ~ NMVOC_e,meteorology_or_target,emission,,,,,,,0
